order_id,order_year,order_month,actual_delivery_date,estimated_delivery_date,date_diff,avg_month_diff
cb2b577a4ebd84bf84ff3990084d490f,2016,10,10/31/16 21:41,11/29/16 0:00,29,36
3b2ca3293a7ce539ea2379d704fa37ce,2016,10,11/17/16 19:53,11/25/16 0:00,8,36
1b2d622f7ebb8e65f7de3e389f052540,2016,10,10/27/16 8:14,11/28/16 0:00,32,36
38c5c2886f2aab75bb1ae3f79a3f300d,2016,10,10/26/16 12:05,11/30/16 0:00,35,36
2e32dea8a4d1ae5499a67674b387bc6a,2016,10,10/27/16 14:02,11/28/16 0:00,32,36
80606b26965c5ed21e85a085e0667b63,2016,10,11/17/16 19:14,12/8/16 0:00,21,36
98974b076b01553d49ee6467905675a7,2016,10,11/17/16 8:38,11/24/16 0:00,7,36
2276cb38c742033aac3f4a4d67b57ab3,2016,10,10/31/16 11:38,11/30/16 0:00,30,36
1069874467b6a425853288c450f68fc9,2016,10,10/28/16 13:51,11/29/16 0:00,32,36
5cd498954e2b37d71b315166809b4bd7,2016,10,10/27/16 17:32,12/1/16 0:00,35,36
64f5569ef96004a1e1137bdf28fd4c45,2016,10,10/31/16 13:27,11/29/16 0:00,29,36
48c43415ea1c4af9afa92542183b6e55,2016,10,11/1/16 14:14,12/2/16 0:00,31,36
c78634fb21ecbb54b2b2498a660082ac,2016,10,10/26/16 15:27,11/29/16 0:00,34,36
d01f0aba52a4d7b2cca8d7623538a434,2016,10,11/10/16 10:59,12/12/16 0:00,32,36
4fb7f38042d214ada4d81cc23d228cc8,2016,10,11/16/16 17:17,12/14/16 0:00,28,36
c776863a93dc0740c6e7d78104b21413,2016,10,12/14/16 8:03,12/14/16 0:00,0,36
c4b41c36dd589e901f6879f25a74ec1d,2016,10,11/9/16 13:37,11/24/16 0:00,15,36
2631dba338efbcea9c3ace77ce210c01,2016,10,12/15/16 13:35,1/9/17 0:00,25,36
59fa27082bb77c5dbd8a6568f3b34380,2016,10,11/1/16 15:04,11/28/16 0:00,27,36
dc5f6cd4492bbffe5bcda9b87856c9a5,2016,10,10/27/16 12:33,11/29/16 0:00,33,36
8d47519f5c9c42540b37bd3db0492878,2016,10,11/7/16 15:11,11/30/16 0:00,23,36
34c718970b33419ed6d537a90366231b,2016,10,10/31/16 21:41,11/29/16 0:00,29,36
10d1e90a86d2be981a52b6a927c97dc5,2016,10,11/7/16 16:26,12/12/16 0:00,35,36
2f9d4ee8ca77fe0951ebfe9064cad953,2016,10,10/29/16 6:53,11/30/16 0:00,32,36
cac247cece621e1bc64748d44331d22d,2016,10,11/4/16 14:31,12/7/16 0:00,33,36
11837ac14fcdfb163c0b78d91be89498,2016,10,11/16/16 10:54,12/2/16 0:00,16,36
90aea7c4e52538a18cb9bbfd16f09185,2016,10,11/17/16 13:07,11/28/16 0:00,11,36
be5bc2f0da14d8071e2d45451ad119d9,2016,10,10/27/16 18:19,11/7/16 0:00,11,36
84d8cb80e8228cbea6d970499c3ce3c3,2016,10,10/27/16 23:51,11/28/16 0:00,32,36
39d0be719247e3b3a38846ba810197ea,2016,10,11/7/16 16:55,12/12/16 0:00,35,36
8b388d845a3e8700444b971fa2bef902,2016,10,11/8/16 14:03,12/6/16 0:00,28,36
c8258090bca7cc6a62c1e15d7fd995d4,2016,10,11/8/16 14:24,12/2/16 0:00,24,36
ef1b29b591d31d57c0d7337460dd83c9,2016,10,11/1/16 15:14,11/25/16 0:00,24,36
3d7d60b10ba4b43cf6f6d5df2e933f67,2016,10,10/31/16 14:57,11/30/16 0:00,30,36
ae0913baa54f18027667d8049c36fde2,2016,10,10/31/16 13:17,11/30/16 0:00,30,36
b533dea24ada4dc5c1a9041d25d7c812,2016,10,10/28/16 16:31,12/2/16 0:00,35,36
c3d9e402b6a0fbe2a5f7fc5b41117c38,2016,10,11/8/16 10:41,12/8/16 0:00,30,36
a8c3f65a43b2e956cbfca10db4300853,2016,10,10/20/16 19:14,11/24/16 0:00,35,36
cb29497c3782a76b57327c055d58b0e0,2016,10,10/29/16 12:53,11/28/16 0:00,30,36
5bda3e4d7080c484cd646a53165a7892,2016,10,11/16/16 23:47,11/29/16 0:00,13,36
6460e331ee8f69c01f1423cca48d9991,2016,10,11/24/16 15:44,12/2/16 0:00,8,36
09dd83f72b2516179cd46b81121fad23,2016,10,11/28/16 15:38,12/12/16 0:00,14,36
98750f114ae6088d04ea0d3cfe3f137f,2016,10,10/28/16 12:23,11/29/16 0:00,32,36
262118ce178bb3e4590a3adcf6d62e6b,2016,10,11/17/16 16:23,11/30/16 0:00,13,36
f205336be829af209878b6339cf02c7e,2016,10,10/27/16 17:55,11/30/16 0:00,34,36
b2f92b2f7047cd8b35580d629d7b3bfb,2016,10,11/17/16 16:23,11/25/16 0:00,8,36
79ffdd52a918bbe867895a4b183d6457,2016,10,10/26/16 16:41,11/24/16 0:00,29,36
d2292ff2201e74c5db154d1b7ae68cbb,2016,10,11/3/16 10:08,11/24/16 0:00,21,36
b19169c7cb8391fb8561e094d61c531a,2016,10,10/28/16 14:43,12/2/16 0:00,35,36
d0fc18b01244d3a08b0fd12deede8201,2016,10,10/31/16 11:27,11/30/16 0:00,30,36
ca3b8093576a51bea61c9782c7771f62,2016,10,10/24/16 16:33,11/25/16 0:00,32,36
0d9664d8da1dc4337269071b39e19423,2016,10,10/27/16 13:36,11/30/16 0:00,34,36
57c0b0276ce0eaf721a4424bf077ce8b,2016,10,11/9/16 13:41,12/14/16 0:00,35,36
7cb5aaf8b7b7b439174c2e4efdf4c7a3,2016,10,11/7/16 13:14,11/30/16 0:00,23,36
4b038a7f8dfc36755eca741381e379e3,2016,10,11/24/16 14:55,12/8/16 0:00,14,36
7a7d2c889e27d93b2005462a8788e168,2016,10,10/31/16 14:03,11/25/16 0:00,25,36
0ca768c507d1fc3c61bd950bb1c5231a,2016,10,11/7/16 14:51,12/6/16 0:00,29,36
555761ab2426364f42e9e018047df4e0,2016,10,10/31/16 10:44,12/5/16 0:00,35,36
5f4c8250b9e6ee47971e0b19da4aa0f2,2016,10,11/18/16 16:05,12/6/16 0:00,18,36
25f680bf746bec3df11d48318ff015de,2016,10,11/1/16 18:04,12/2/16 0:00,31,36
95e01270fcbae9863423400103359279,2016,10,11/4/16 17:54,11/24/16 0:00,20,36
62246c16a32a0866943f17d7b42db940,2016,10,10/31/16 9:45,12/2/16 0:00,32,36
03128233e78ed8ade6738f2043f4cf8d,2016,10,10/31/16 17:06,11/28/16 0:00,28,36
